source_path,quality_class,split,output_path,confidence,selected_bbox,padded_bbox,status,message
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4965.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4823.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_8034.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3102.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6471.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2544.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9235.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3304.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4579.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4265.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6306.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_8440.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2588.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3440.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6119.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_1589.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_1102.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_2997.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4087.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_5447.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_9791.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_6567.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7904.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_1817.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_5077.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_4450.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_1682.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_3371.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_1092.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7338.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_5191.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_37.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_7353.jpeg,good,train,,,,,no_detection,No inspected_object detection
C:\Python\Projects\PytorchTest\casting_512x512\ok_front\cast_ok_0_8540.jpeg,good,train,,,,,no_detection,No inspected_object detection
